"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2018","1,322.20","1,321.50","1,323.20","1,309.20","0","0.05"
"Feb 07, 2018","1,321.50","1,328.00","1,334.80","1,314.10","0","-0.49"
"Feb 06, 2018","1,328.00","1,343.30","1,349.10","1,322.80","0","-0.64"
"Feb 05, 2018","1,336.50","1,334.60","1,344.80","1,331.60","305.68K","0.08"
"Feb 04, 2018","1,335.40","1,335.20","1,336.70","1,332.20","0","-0.14"
"Feb 02, 2018","1,337.30","1,352.20","1,353.30","1,330.10","431.41K","-0.79"
"Feb 01, 2018","1,347.90","1,348.20","1,354.30","1,340.20","310.50K","0.36"
"Jan 31, 2018","1,343.10","1,341.80","1,351.00","1,335.50","377.14K","0.23"
"Jan 30, 2018","1,340.00","1,344.00","1,352.50","1,337.50","412.52K","-0.38"
"Jan 29, 2018","1,345.10","1,353.70","1,356.30","1,340.90","233.76K","-0.89"
"Jan 26, 2018","1,357.20","1,352.70","1,361.00","1,348.60","142.27K","-0.79"
"Jan 25, 2018","1,368.00","1,362.70","1,370.50","1,346.20","142.58K","0.48"
"Jan 24, 2018","1,361.40","1,346.20","1,366.80","1,344.10","159.34K","1.47"
"Jan 23, 2018","1,341.70","1,338.40","1,346.60","1,335.80","70.40K","0.36"
"Jan 22, 2018","1,336.90","1,339.40","1,340.30","1,332.90","104.32K","0.29"
"Jan 19, 2018","1,333.10","1,327.00","1,338.20","1,326.60","275.30K","0.44"
"Jan 18, 2018","1,327.20","1,327.40","1,333.30","1,324.30","312.11K","-0.90"
"Jan 17, 2018","1,339.20","1,339.00","1,344.50","1,326.60","365.87K","0.16"
"Jan 16, 2018","1,337.10","1,337.30","1,345.00","1,332.10","499.76K","-0.35"
"Jan 15, 2018","1,341.80","1,337.30","1,344.90","1,337.00","0","0.33"
"Jan 14, 2018","1,337.40","1,337.70","1,338.60","1,336.40","0","0.19"
"Jan 12, 2018","1,334.90","1,323.60","1,340.00","1,320.80","365.20K","0.94"
"Jan 11, 2018","1,322.50","1,317.50","1,324.70","1,316.10","264.30K","0.24"
"Jan 10, 2018","1,319.30","1,313.30","1,328.60","1,308.90","391.66K","0.43"
"Jan 09, 2018","1,313.70","1,321.20","1,321.40","1,309.50","333.53K","-0.51"
"Jan 08, 2018","1,320.40","1,321.80","1,323.00","1,315.70","246.09K","-0.14"
"Jan 05, 2018","1,322.30","1,324.40","1,324.70","1,314.60","330.23K","0.05"
"Jan 04, 2018","1,321.60","1,315.50","1,327.30","1,307.10","369.85K","0.24"
"Jan 03, 2018","1,318.50","1,319.00","1,323.00","1,308.90","353.46K","0.18"
"Jan 02, 2018","1,316.10","1,305.30","1,320.40","1,304.60","279.73K","0.57"
"Jan 01, 2018","1,308.70","1,305.80","1,309.70","1,304.60","0","-0.05"
"Dec 29, 2017","1,309.30","1,297.50","1,309.80","1,296.10","241.27K","0.93"
"Dec 28, 2017","1,297.20","1,292.00","1,297.30","1,290.50","225.66K","0.45"
"Dec 27, 2017","1,291.40","1,287.80","1,293.20","1,286.00","205.80K","0.30"
"Dec 26, 2017","1,287.50","1,279.00","1,288.40","1,277.70","134.62K","0.75"
"Dec 25, 2017","1,277.90","1,278.90","1,279.50","1,277.90","0","-0.07"
"Dec 22, 2017","1,278.80","1,270.30","1,280.40","1,268.40","193.03K","0.65"
"Dec 21, 2017","1,270.60","1,268.80","1,272.50","1,266.00","196.54K","0.08"
"Dec 20, 2017","1,269.60","1,264.80","1,271.40","1,264.40","205.62K","0.43"
"Dec 19, 2017","1,264.20","1,265.40","1,268.60","1,262.30","206.59K","-0.10"
"Dec 18, 2017","1,265.50","1,257.80","1,267.00","1,255.30","214.22K","0.64"
"Dec 15, 2017","1,257.50","1,255.50","1,264.50","1,255.20","246.11K","0.03"
"Dec 14, 2017","1,257.10","1,258.10","1,261.60","1,252.80","264.71K","0.68"
"Dec 13, 2017","1,248.60","1,246.30","1,259.70","1,242.30","324.22K","0.56"
"Dec 12, 2017","1,241.70","1,243.90","1,247.90","1,238.30","232.77K","-0.42"
"Dec 11, 2017","1,246.90","1,249.20","1,253.40","1,242.40","194.38K","-0.12"
"Dec 08, 2017","1,248.40","1,249.50","1,254.40","1,244.40","277.06K","-0.38"
"Dec 07, 2017","1,253.10","1,265.20","1,266.80","1,245.80","326.47K","-1.03"
"Dec 06, 2017","1,266.10","1,268.30","1,271.80","1,264.80","253.05K","0.09"
"Dec 05, 2017","1,264.90","1,279.10","1,279.80","1,263.20","334.83K","-1.00"
"Dec 04, 2017","1,277.70","1,277.60","1,280.50","1,273.50","262.07K","-0.36"
"Dec 01, 2017","1,282.30","1,277.90","1,292.50","1,274.20","438.93K","0.44"
"Nov 30, 2017","1,276.70","1,286.90","1,288.40","1,273.10","354.08K","-0.74"
"Nov 29, 2017","1,286.20","1,298.00","1,300.40","1,285.10","392.06K","-1.00"
"Nov 28, 2017","1,299.20","1,298.80","1,301.30","1,294.50","230.27K","0.02"
"Nov 27, 2017","1,298.90","1,292.00","1,303.40","1,290.70","144.65K","0.55"
"Nov 24, 2017","1,291.80","1,296.10","1,297.60","1,289.50","83.55K","0.01"
"Nov 23, 2017","1,291.66","1,291.19","1,293.87","1,287.65","0","-0.40"
"Nov 22, 2017","1,296.80","1,284.80","1,299.00","1,283.10","103.58K","0.82"
"Nov 21, 2017","1,286.20","1,281.00","1,288.70","1,280.20","60.04K","0.85"
"Nov 20, 2017","1,275.30","1,294.10","1,295.10","1,274.10","425.16K","-1.64"
"Nov 17, 2017","1,296.50","1,278.80","1,297.50","1,278.10","387.02K","1.43"
"Nov 16, 2017","1,278.20","1,278.00","1,281.80","1,274.90","274.43K","0.04"
"Nov 15, 2017","1,277.70","1,280.70","1,290.00","1,276.50","433.65K","-0.41"
"Nov 14, 2017","1,282.90","1,278.90","1,283.80","1,269.70","355.20K","0.31"
