"Date","Price","Open","High","Low","Change %"
"Jan 12, 2018","56.6433","56.4285","56.7417","56.4275","0.38"
"Jan 11, 2018","56.4285","57.0222","57.0696","56.4285","-1.04"
"Jan 10, 2018","57.0222","56.9930","57.0981","56.7717","0.05"
"Jan 09, 2018","56.9930","56.9903","57.1831","56.8314","0.00"
"Jan 05, 2018","56.9903","56.8765","57.1261","56.8765","0.20"
"Jan 04, 2018","56.8765","57.2561","57.2844","56.8000","-0.66"
"Jan 03, 2018","57.2561","57.6114","57.6114","57.1263","-0.62"
"Dec 29, 2017","57.6114","57.5153","57.9111","57.4786","0.17"
"Dec 28, 2017","57.5153","57.7424","57.7431","57.4034","-0.39"
"Dec 27, 2017","57.7424","57.6230","57.9155","57.3927","0.21"
"Dec 26, 2017","57.6230","57.9674","58.0099","57.5807","-0.59"
"Dec 25, 2017","57.9674","58.3697","58.3764","57.8085","-0.69"
"Dec 22, 2017","58.3697","58.4615","58.4615","58.2079","-0.16"
"Dec 21, 2017","58.4615","58.7035","58.7066","58.4262","-0.41"
"Dec 20, 2017","58.7035","58.7743","58.7757","58.5971","-0.12"
"Dec 19, 2017","58.7743","58.6635","58.8439","58.5448","0.19"
"Dec 18, 2017","58.6635","58.8009","58.8009","58.5653","-0.23"
"Dec 15, 2017","58.8009","58.7556","59.0216","58.7270","0.08"
"Dec 14, 2017","58.7556","58.6190","58.9110","58.5582","0.23"
"Dec 13, 2017","58.6190","59.2960","59.2960","58.5591","-1.14"
"Dec 12, 2017","59.2960","58.9983","59.2968","58.7873","0.50"
"Dec 11, 2017","58.9983","59.1639","59.3192","58.8852","-0.28"
"Dec 08, 2017","59.1639","59.1867","59.3811","59.0525","-0.04"
"Dec 07, 2017","59.1867","59.2180","59.3672","59.0799","-0.05"
"Dec 06, 2017","59.2180","58.7367","59.2446","58.7367","0.82"
"Dec 05, 2017","58.7367","58.8003","58.8246","58.6024","-0.11"
"Dec 04, 2017","58.8003","58.8960","59.1026","58.6605","-0.16"
"Dec 01, 2017","58.8960","58.4380","59.1325","58.4380","0.78"
"Nov 30, 2017","58.4380","58.6144","58.7341","58.3637","-0.30"
"Nov 29, 2017","58.6144","58.3803","58.7032","58.2550","0.40"
"Nov 28, 2017","58.3803","58.4853","58.5440","58.2163","-0.18"
"Nov 27, 2017","58.4853","58.3732","58.5050","58.0568","0.19"
"Nov 24, 2017","58.3732","58.4456","58.5971","58.2538","-0.12"
"Nov 23, 2017","58.4456","58.5001","58.5281","58.3272","-0.09"
"Nov 22, 2017","58.5001","59.1888","59.1888","58.4490","-1.16"
"Nov 21, 2017","59.1888","59.3469","59.5362","59.1002","-0.27"
"Nov 20, 2017","59.3469","59.0623","59.5624","59.0623","0.48"
"Nov 17, 2017","59.0623","59.6749","59.7576","59.0068","-1.03"
"Nov 16, 2017","59.6749","60.2027","60.2150","59.5879","-0.88"
"Nov 15, 2017","60.2027","60.2303","60.4123","60.0322","-0.05"
"Nov 14, 2017","60.2303","59.3625","60.2412","59.3500","1.46"
"Nov 13, 2017","59.3625","59.2115","59.5688","59.0832","0.26"
"Nov 10, 2017","59.2115","59.2894","59.3512","58.9799","-0.13"
"Nov 09, 2017","59.2894","59.2551","59.4201","59.1151","0.06"
"Nov 08, 2017","59.2551","59.3594","59.5735","59.0780","-0.18"
"Nov 07, 2017","59.3594","59.0800","59.4318","58.3385","0.47"
"Nov 03, 2017","59.0800","58.1619","59.2695","58.1619","1.58"
"Nov 02, 2017","58.1619","58.2807","58.4351","58.0120","-0.20"
"Nov 01, 2017","58.2807","58.3289","58.3992","58.0335","-0.08"
"Oct 31, 2017","58.3289","57.9716","58.6003","57.9568","0.62"
"Oct 30, 2017","57.9716","58.0680","58.0806","57.6700","-0.17"
"Oct 27, 2017","58.0680","57.8560","58.7456","57.8547","0.37"
"Oct 26, 2017","57.8560","57.7552","57.8856","57.4830","0.17"
"Oct 25, 2017","57.7552","57.6412","57.8150","57.5255","0.20"
"Oct 24, 2017","57.6412","57.5480","57.6950","57.3870","0.16"
"Oct 23, 2017","57.5480","57.4945","57.5500","57.3864","0.09"
"Oct 20, 2017","57.4945","57.2734","57.6343","57.2725","0.39"
"Oct 19, 2017","57.2734","57.4379","57.7178","57.2589","-0.29"
"Oct 18, 2017","57.4379","57.2975","57.5026","57.1978","0.25"
"Oct 17, 2017","57.2975","57.3217","57.5419","57.2589","-0.04"
"Oct 16, 2017","57.3217","57.1740","57.3796","56.9956","0.26"
"Oct 13, 2017","57.1740","57.6879","57.7212","57.0588","-0.89"
"Oct 12, 2017","57.6879","57.8310","57.8369","57.6273","-0.25"
